Qual função é usada para atualizar um dado?;SELECT;DELETE;WHERE;UPDATE;UPDATE
O que são chaves primárias?;Dados para identificar um elemento;Dados para identificar uma dependência;Dados para armazenar um valor único;Dados que são sempre auto-incrementados;Dados para identificar um elemento;
Por que uma chave primária não pode ser algo como nome ou sexo?;Pois são dados únicos;Pois são dados de textos;Pois são dados repetíveis;Pois não são números;Pois são dados repetíveis;
Qual o erro de sintax neste Código? Select from Clientes;Faltou o Where;O nome da Tabela está incorreta;Faltou quais informações quer que apareça;O código está certo;Faltou quais informações quer que apareça;
Quais das opções fazem o vínculo de uma tabela com outra:Where, InnerJoin, Select;Right Join, Where, Inner Join;InnerJoin, Gruop By, Having;From, Where, Create;Right Join, Where, Inner Join;
Qual o erro de lógica nesta código? Select * from Itens where itm_preco == '13.6';Comparação de um dado decimal com um texto;Dado com o nome incorreto;Tabela com letra Maiuscula;Está selecionando dados desnecessários;Comparação de um dado decimal com um texto;
O quais da funções abaixo pode ser usadas para criar tabelas temporárias?;1;2;3;4;1;
Quais das funções podem operar em várias tabela usando variáveis?;1;2;3;4;1;
Qual o erro do sintaxe na imagem?;1;2;3;4;1;
O que deveria ter sido alterado na imagem para funcionar?;1;2;3;4;1;
Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
1Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
2Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
3Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
4Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
5Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
6Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
7Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
8Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
9Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
10Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
11Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
12Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
13Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
14Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
15Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
16Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
17Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
18Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
19Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
20Quais dessas funções não possuem erro de sintaxe?;1;2;3;4;1;
